N;wordnetid;name;description
102;n02114548;white wolf, Arctic wolf, Canis lupus tundrarum;wolf of Arctic North America having white fur and a black-tipped tail
899;n04584207;wig;hairpiece covering the head and made of real or synthetic hair
78;n02396427;wild boar, boar, Sus scrofa;"Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States"
912;n04589890;window screen;screen to keep insects from entering a building through the open window
904;n04590129;window shade;an opaque window blind that can cover or uncover a window
935;n04591157;Windsor tie;a wide necktie worn in a loose bow
831;n04591713;wine bottle;a bottle for holding wine
503;n04592741;wing;one of the horizontal airfoils on either side of the fuselage of an airplane
160;n02095314;wire-haired fox terrier;a fox terrier with wiry hair
672;n04596742;wok;"pan with a convex bottom; used for frying in Chinese cooking"
609;n01775062;wolf spider, hunting spider;ground spider that hunts its prey instead of using a web
218;n01883070;wombat;burrowing herbivorous Australian marsupials about the size of a badger
188;n02325366;wood rabbit, cottontail, cottontail rabbit;"common small rabbit of North America having greyish or brownish fur and a tail with a white underside; a host for Ixodes pacific... <Preview truncated at 128 characters>"
951;n04597913;wooden spoon;a spoon made of wood
815;n04599235;wool, woolen, woollen;a fabric made from the hair of sheep
723;n04604644;worm fence, snake fence, snake-rail fence, Virginia fence;rail fence consisting of a zigzag of interlocking rails
248;n04606251;wreck;a ship that has been destroyed at sea
240;n04612504;yawl;a ships small boat (usually rowed by 4 or 6 oars)
358;n12057211;yellow ladys slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum;"maroon to purple-brown orchid with yellow lip; Europe, North America and Japan"
59;n02094433;Yorkshire terrier;very small breed having a long glossy coat of bluish-grey and tan
714;n04613696;yurt;"a circular domed dwelling that is portable and self-supporting; originally used by nomadic Mongol and Turkic people of central A... <Preview truncated at 128 characters>"
80;n02391049;zebra;any of several fleet black-and-white striped African equines
739;n07716358;zucchini, courgette;"small cucumber-shaped vegetable marrow; typically dark green"
